batch_no,medicine_id,purchase_date,expiry_date,opening_stock,stock_in_hand,unit_cost,supplier_name,inventory_value
MED075-B01,MED075,2025-05-05,2026-10-05,530,0,381.38,Urban Pharma Chain,0.00
MED075-B04,MED075,2026-03-31,2027-04-14,236,96,381.38,Wellroute Healthcare,36612.48
MED075-B02,MED075,2026-01-22,2027-04-15,342,14,381.38,Wellroute Healthcare,5339.32
MED075-B03,MED075,2026-01-22,2027-10-15,329,329,381.38,Apex Wholesale,125474.02
MED076-B01,MED076,2025-08-08,2026-06-06,256,0,111.49,Wellroute Healthcare,0.00
MED076-B03,MED076,2025-03-04,2026-08-05,214,0,111.49,Wellroute Healthcare,0.00
MED076-B02,MED076,2025-11-06,2027-01-19,306,0,111.49,Wellroute Healthcare,0.00
MED077-B03,MED077,2025-08-17,2027-03-09,517,0,296.01,Wellroute Healthcare,0.00
MED077-B02,MED077,2025-10-20,2027-09-04,212,0,296.01,Wellroute Healthcare,0.00
MED077-B01,MED077,2026-03-29,2027-10-29,728,663,296.01,Urban Pharma Chain,196254.63
MED078-B03,MED078,2025-04-16,2025-10-08,787,0,231.94,CareHub Distributors,0.00
MED078-B04,MED078,2025-03-17,2026-07-26,367,0,231.94,Prime MedSupply,0.00
MED078-B02,MED078,2026-01-07,2027-06-19,793,458,231.94,Wellroute Healthcare,106228.52
MED078-B01,MED078,2026-03-26,2027-11-06,518,518,231.94,Wellroute Healthcare,120144.92
MED079-B03,MED079,2025-06-03,2025-11-22,826,134,240.66,Prime MedSupply,32248.44
MED079-B02,MED079,2026-03-25,2027-07-28,556,469,240.66,Prime MedSupply,112869.54
MED079-B01,MED079,2025-09-26,2027-09-09,286,0,240.66,MediBridge Supply,0.00
MED080-B01,MED080,2025-04-24,2025-11-28,609,0,163.82,MediBridge Supply,0.00
MED080-B04,MED080,2025-03-15,2026-09-10,654,0,163.82,MediBridge Supply,0.00
MED080-B03,MED080,2025-10-26,2027-01-01,600,491,163.82,Urban Pharma Chain,80435.62
MED080-B02,MED080,2025-10-25,2027-01-03,524,524,163.82,CareHub Distributors,85841.68
MED081-B02,MED081,2025-11-17,2026-04-21,788,0,243.04,Apex Wholesale,0.00
MED081-B04,MED081,2025-08-02,2026-08-19,796,0,243.04,CareHub Distributors,0.00
MED081-B05,MED081,2025-03-28,2026-09-10,362,0,243.04,Prime MedSupply,0.00
MED081-B01,MED081,2025-04-07,2026-10-25,286,0,243.04,CareHub Distributors,0.00
MED081-B03,MED081,2025-09-20,2027-04-27,647,468,243.04,Apex Wholesale,113742.72
MED082-B03,MED082,2025-03-04,2026-07-28,639,0,79.15,Wellroute Healthcare,0.00
MED082-B02,MED082,2025-12-09,2026-08-24,540,0,79.15,Wellroute Healthcare,0.00
MED082-B01,MED082,2026-02-27,2026-12-13,732,699,79.15,MediBridge Supply,55325.85
MED082-B04,MED082,2025-12-24,2027-05-29,534,475,79.15,CareHub Distributors,37596.25
MED083-B03,MED083,2025-04-29,2026-01-14,284,0,34.01,Apex Wholesale,0.00
MED083-B01,MED083,2025-04-28,2026-08-10,797,0,34.01,Wellroute Healthcare,0.00
MED083-B04,MED083,2025-06-06,2026-12-07,879,0,34.01,Prime MedSupply,0.00
MED083-B02,MED083,2025-07-28,2027-07-07,220,86,34.01,Wellroute Healthcare,2924.86
MED084-B03,MED084,2025-12-16,2026-06-13,289,0,236.35,CareHub Distributors,0.00
MED084-B01,MED084,2025-05-14,2026-07-09,846,0,236.35,Apex Wholesale,0.00
MED084-B02,MED084,2025-08-30,2027-04-11,276,0,236.35,CareHub Distributors,0.00
MED085-B02,MED085,2025-03-16,2026-01-07,250,0,311.38,Prime MedSupply,0.00
MED085-B03,MED085,2025-05-13,2027-04-12,508,0,311.38,Prime MedSupply,0.00
MED085-B01,MED085,2026-03-07,2027-09-04,247,56,311.38,Wellroute Healthcare,17437.28
MED085-B04,MED085,2025-11-03,2027-10-03,789,278,311.38,Apex Wholesale,86563.64
MED086-B02,MED086,2025-03-24,2025-12-29,430,0,359.89,Prime MedSupply,0.00
MED086-B04,MED086,2026-04-05,2026-12-14,339,248,359.89,CareHub Distributors,89252.72
MED086-B03,MED086,2025-07-09,2027-01-19,459,0,359.89,Urban Pharma Chain,0.00
MED086-B01,MED086,2026-04-02,2028-01-05,556,554,359.89,Apex Wholesale,199379.06
MED086-B05,MED086,2026-02-07,2028-01-26,667,547,359.89,Apex Wholesale,196859.83
MED087-B03,MED087,2025-09-08,2026-03-10,487,0,194.25,CareHub Distributors,0.00
MED087-B01,MED087,2025-08-08,2026-04-02,188,0,194.25,CareHub Distributors,0.00
MED087-B04,MED087,2025-11-26,2026-12-04,222,0,194.25,MediBridge Supply,0.00
MED087-B05,MED087,2026-01-10,2027-07-10,810,541,194.25,Urban Pharma Chain,105089.25
MED087-B02,MED087,2026-03-17,2027-12-23,821,821,194.25,MediBridge Supply,159479.25
MED088-B03,MED088,2025-11-23,2026-12-04,658,0,348.35,Prime MedSupply,0.00
MED088-B01,MED088,2025-11-24,2027-03-12,215,0,348.35,Prime MedSupply,0.00
MED088-B02,MED088,2025-12-14,2027-11-11,632,632,348.35,Prime MedSupply,220157.20
MED089-B01,MED089,2025-08-02,2026-07-01,580,0,354.10,Apex Wholesale,0.00
MED089-B04,MED089,2026-03-05,2026-08-13,750,648,354.10,MediBridge Supply,229456.80
MED089-B02,MED089,2025-08-26,2026-12-02,548,235,354.10,Wellroute Healthcare,83213.50
MED089-B03,MED089,2025-04-26,2026-12-26,650,229,354.10,Apex Wholesale,81088.90
MED090-B04,MED090,2025-04-14,2026-04-27,402,0,232.99,Wellroute Healthcare,0.00
MED090-B01,MED090,2025-05-03,2026-06-27,260,0,232.99,Prime MedSupply,0.00
MED090-B03,MED090,2025-09-27,2026-09-21,854,246,232.99,Prime MedSupply,57315.54
MED090-B02,MED090,2026-03-21,2027-11-04,242,242,232.99,CareHub Distributors,56383.58
MED091-B03,MED091,2025-04-17,2025-11-08,834,0,239.74,CareHub Distributors,0.00
MED091-B04,MED091,2025-05-16,2026-01-20,345,0,239.74,Prime MedSupply,0.00
MED091-B02,MED091,2026-02-12,2026-10-21,497,0,239.74,CareHub Distributors,0.00
MED091-B01,MED091,2025-12-24,2027-06-11,412,146,239.74,Prime MedSupply,35002.04
MED092-B04,MED092,2025-09-22,2026-06-16,512,0,69.17,MediBridge Supply,0.00
MED092-B02,MED092,2025-05-20,2026-07-04,528,0,69.17,CareHub Distributors,0.00
MED092-B03,MED092,2025-07-26,2027-03-28,552,0,69.17,MediBridge Supply,0.00
MED092-B01,MED092,2025-07-09,2027-04-08,760,135,69.17,CareHub Distributors,9337.95
MED093-B02,MED093,2025-08-20,2026-05-10,256,0,386.63,Prime MedSupply,0.00
MED093-B03,MED093,2025-09-27,2026-09-14,697,0,386.63,CareHub Distributors,0.00
MED093-B01,MED093,2025-05-29,2027-04-22,836,0,386.63,Apex Wholesale,0.00
MED094-B03,MED094,2025-04-05,2027-01-21,498,0,38.92,Urban Pharma Chain,0.00
MED094-B01,MED094,2026-02-26,2027-07-29,332,111,38.92,Prime MedSupply,4320.12
MED094-B02,MED094,2026-03-26,2027-12-08,670,670,38.92,Apex Wholesale,26076.40
MED095-B03,MED095,2025-04-15,2025-12-01,524,0,367.85,Urban Pharma Chain,0.00
MED095-B04,MED095,2026-03-13,2026-10-13,676,368,367.85,Urban Pharma Chain,135368.80
MED095-B02,MED095,2025-12-12,2027-02-25,691,204,367.85,CareHub Distributors,75041.40
MED095-B01,MED095,2025-09-08,2027-08-24,520,60,367.85,CareHub Distributors,22071.00
MED096-B03,MED096,2025-05-14,2026-02-25,688,0,112.07,Wellroute Healthcare,0.00
MED096-B02,MED096,2025-09-24,2027-03-03,768,53,112.07,Prime MedSupply,5939.71
MED096-B04,MED096,2025-05-25,2027-04-20,509,248,112.07,Wellroute Healthcare,27793.36
MED096-B01,MED096,2025-12-04,2027-05-02,517,517,112.07,Wellroute Healthcare,57940.19
MED097-B01,MED097,2025-07-07,2025-12-05,235,0,196.66,MediBridge Supply,0.00
MED097-B03,MED097,2025-12-18,2026-10-30,228,0,196.66,CareHub Distributors,0.00
MED097-B02,MED097,2025-10-04,2027-03-24,741,0,196.66,MediBridge Supply,0.00
MED098-B02,MED098,2025-07-27,2026-03-24,216,0,323.33,MediBridge Supply,0.00
MED098-B03,MED098,2025-06-25,2026-10-16,252,0,323.33,Prime MedSupply,0.00
MED098-B01,MED098,2025-09-02,2027-03-30,849,0,323.33,MediBridge Supply,0.00
MED099-B01,MED099,2025-11-08,2026-04-26,751,69,21.51,CareHub Distributors,1484.19
MED099-B04,MED099,2025-10-22,2026-12-19,197,128,21.51,CareHub Distributors,2753.28
MED099-B02,MED099,2025-07-08,2027-03-18,749,326,21.51,Prime MedSupply,7012.26
MED099-B03,MED099,2025-10-07,2027-07-05,296,296,21.51,Apex Wholesale,6366.96
MED100-B02,MED100,2025-12-16,2026-06-26,489,0,37.94,Apex Wholesale,0.00
MED100-B03,MED100,2025-07-15,2027-04-24,522,0,37.94,Prime MedSupply,0.00
MED100-B01,MED100,2026-03-16,2027-12-07,603,587,37.94,Prime MedSupply,22270.78
